mpg,cylinders,displacement,horsepower,weight,acceleration,year,origin,name,Model 0,Residue,,,,,,
22,6,232,112,2835,14.7,82,1,ford granada l,23.51457286,2.293930961,,,,,,
25,6,181,110,2945,16.4,82,1,buick century limited,23.51457286,2.206493775,,,,,,
23,4,151,100,3035,20.5,82,1,amc concord dl,23.51457286,0.264785233,,,,,,
32,4,144,96,2665,13.9,82,3,toyota celica gt,23.51457286,72.00247367,,,,,,
26,4,156,92,2585,14.5,82,1,chrysler lebaron medallion,23.51457286,6.177348047,,,,,,
24,4,140,92,2865,16.4,82,1,ford fairmont futura,23.51457286,0.235639504,,,,,,
27,4,151,90,2735,18,82,1,pontiac phoenix,23.51457286,12.14820232,,,,,Avg, 104 
27,4,151,90,2950,17.3,82,1,chevrolet camaro,23.51457286,12.14820232,,,,,Min, 46 
36,4,120,88,2160,14.5,82,3,nissan stanza xe,23.51457286,155.8858908,,,,,max, 230 
34,4,112,88,2395,18,82,1,chevrolet cavalier 2-door,23.51457286,109.9441822,,,,,,
28,4,112,88,2605,19.6,82,1,chevrolet cavalier,23.51457286,20.11905659,,,,,,
27,4,112,88,2640,18.6,82,1,chevrolet cavalier wagon,23.51457286,12.14820232,,,,,,
27,4,140,86,2790,15.6,82,1,ford mustang gl,23.51457286,12.14820232,,,,,,
38,6,262,85,3015,17,82,1,oldsmobile cutlass ciera (diesel),23.51457286,209.8275993,,,,,,
31,4,112,85,2575,16.2,82,1,pontiac j2000 se hatchback,23.51457286,56.0316194,,,,,,
36,4,135,84,2370,13,82,1,dodge charger 2.2,23.51457286,155.8858908,,,,,,
32,4,135,84,2295,11.6,82,1,dodge rampage,23.51457286,72.00247367,,,,,,
29,4,135,84,2525,16,82,1,dodge aries se,23.51457286,30.08991086,,,,,,
31,4,119,82,2720,19.4,82,1,chevy s-10,23.51457286,56.0316194,,,,,,
28,4,120,79,2625,18.6,82,1,ford ranger,23.51457286,20.11905659,,,,,,
36,4,107,75,2205,14.5,82,3,honda accord,23.51457286,155.8858908,,,,,,
36,4,105,74,1980,15.3,82,2,volkswagen rabbit l,23.51457286,155.8858908,,,,,,
36,4,98,70,2125,17.3,82,1,mercury lynx l,23.51457286,155.8858908,,,,,,
34,4,108,70,2245,16.9,82,3,toyota corolla,23.51457286,109.9441822,,,,,,
37,4,91,68,2025,18.2,82,3,mazda glc custom l,23.51457286,181.856745,,,,,,
31,4,91,68,1970,17.6,82,3,mazda glc custom,23.51457286,56.0316194,,,,,,
38,4,91,67,1965,15,82,3,honda civic,23.51457286,209.8275993,,,,,,
38,4,91,67,1995,16.2,82,3,datsun 310 gx,23.51457286,209.8275993,,,,,,
32,4,91,67,1965,15.7,82,3,honda civic (auto),23.51457286,72.00247367,,,,,,
38,4,105,63,2125,14.7,82,1,plymouth horizon miser,23.51457286,209.8275993,,,,,,
44,4,97,52,2130,24.6,82,2,vw pickup,23.51457286,419.6527249,,,,,,
24.2,6,146,120,2930,13.8,81,3,datsun 810 maxima,23.51457286,0.469810358,,,,,,
25.4,6,168,116,2900,12.6,81,3,toyota cressida,23.51457286,3.554835484,,,,,,
23.5,6,173,110,2725,12.6,81,1,chevrolet citation,23.51457286,0.000212368,,,,,,
22.4,6,231,110,3415,15.8,81,1,buick century,23.51457286,1.24227267,,,,,,
26.6,8,350,105,3725,19,81,1,oldsmobile cutlass ls,23.51457286,9.51986061,,,,,,
34.5,4,100,100,2320,15.8,81,2,renault 18i,23.51457286,120.6796094,,,,,,
32.9,4,119,100,2615,14.8,81,3,datsun 200sx,23.51457286,88.08624252,,,,,,
25.8,4,156,92,2620,14.4,81,1,dodge aries wagon (sw),23.51457286,5.223177192,,,,,,
20.2,6,200,88,3060,17.1,81,1,ford granada gl,23.51457286,10.98639327,,,,,,
17.6,6,225,85,3465,16.6,81,1,chrysler lebaron salon,23.51457286,34.98217217,,,,,,
30,4,135,84,2385,12.9,81,1,plymouth reliant,23.51457286,42.06076513,,,,,,
27.2,4,135,84,2490,15.7,81,1,plymouth reliant,23.51457286,13.58237317,,,,,,
26.6,4,151,84,2635,16.4,81,1,buick skylark,23.51457286,9.51986061,,,,,,
28.1,4,141,80,3230,20.4,81,2,peugeot 505s turbo diesel,23.51457286,21.02614202,,,,,,
30.7,6,145,76,3160,19.6,81,2,volvo diesel,23.51457286,51.63036312,,,,,,
33.7,4,107,75,2210,14.4,81,3,honda prelude,23.51457286,103.7429259,,,,,,
32.4,4,108,75,2350,16.8,81,3,toyota corolla,23.51457286,78.95081538,,,,,,
33,4,105,74,2190,14.2,81,2,volkswagen jetta,23.51457286,89.97332795,,,,,,
31.6,4,120,74,2635,18.3,81,3,mazda 626,23.51457286,65.37413197,,,,,,
34.1,4,91,68,1985,16,81,3,mazda glc 4,23.51457286,112.0512676,,,,,,
32.3,4,97,67,2065,17.8,81,3,subaru,23.51457286,77.18372996,,,,,,
37,4,85,65,1975,19.4,81,3,datsun 210 mpg,23.51457286,181.856745,,,,,,
34.4,4,98,65,2045,16.2,81,1,ford escort 4w,23.51457286,118.4925239,,,,,,
29.9,4,98,65,2380,20.7,81,1,ford escort 2h,23.51457286,40.77367971,,,,,,
39,4,86,64,1875,16.4,81,1,plymouth champ,23.51457286,239.7984536,,,,,,
34.7,4,105,63,2215,14.9,81,1,plymouth horizon 4,23.51457286,125.1137802,,,,,,
37.7,4,89,62,2050,17.3,81,3,toyota tercel,23.51457286,201.226343,,,,,,
35.1,4,81,60,1760,16.1,81,3,honda civic 1300,23.51457286,134.2221219,,,,,,
39.1,4,79,58,1755,16.9,81,3,toyota starlet,23.51457286,242.905539,,,,,,
32.7,6,168,132,2910,11.4,80,3,datsun 280-zx,23.51457286,84.37207166,,,,,,
27.9,4,156,105,2800,14.4,80,1,dodge colt,23.51457286,19.23197116,,,,,,
40.9,4,85,100,1835,17.3,80,2,renault lecar deluxe,23.51457286,302.2530767,,,,,,
23.7,3,70,100,2420,12.5,80,3,mazda rx-7 gs,23.51457286,0.034383223,,,,,,
23.6,4,140,100,2905,14.3,80,1,ford mustang cobra,23.51457286,0.007297796,,,,,,
37,4,119,92,2434,15,80,3,datsun 510 hatchback,23.51457286,181.856745,,,,,,
29.8,4,134,90,2711,15.5,80,3,toyota corona liftback,23.51457286,39.50659428,,,,,,
28,4,151,90,2678,16.5,80,1,chevrolet citation,23.51457286,20.11905659,,,,,,
24.3,4,151,90,3003,20.1,80,1,amc concord,23.51457286,0.616895785,,,,,,
19.1,6,225,90,3381,18.7,80,1,dodge aspen,23.51457286,19.48845357,,,,,,
35,4,122,88,2500,15.1,80,2,triumph tr7 coupe,23.51457286,131.9150365,,,,,,
26.4,4,140,88,2870,18.1,80,1,ford fairmont,23.51457286,8.325689755,,,,,,
34.3,4,97,78,2188,15.8,80,2,audi 4000,23.51457286,116.3254385,,,,,,
41.5,4,98,76,2144,14.7,80,2,vw rabbit,23.51457286,323.4755893,,,,,,
32.2,4,108,75,2265,15.2,80,3,toyota corolla,23.51457286,75.43664453,,,,,,
31.3,4,120,75,2542,17.5,80,3,mazda 626,23.51457286,60.61287568,,,,,,
32.4,4,107,72,2290,17,80,3,honda accord,23.51457286,78.95081538,,,,,,
32.1,4,98,70,2120,15.5,80,1,chevrolet chevette,23.51457286,73.7095591,,,,,,
44.6,4,91,67,1850,13.8,80,3,honda civic 1500 gl,23.51457286,444.5952375,,,,,,
36.4,5,121,67,2950,19.9,80,2,audi 5000s (diesel),23.51457286,166.0342325,,,,,,
33.8,4,97,67,2145,18,80,3,subaru dl,23.51457286,105.7900114,,,,,,
30,4,146,67,3250,21.8,80,2,mercedes-benz 240d,23.51457286,42.06076513,,,,,,
46.6,4,86,65,2110,17.9,80,3,mazda glc,23.51457286,532.936946,,,,,,
40.8,4,85,65,2110,19.2,80,3,datsun 210,23.51457286,298.7859913,,,,,,
37.2,4,86,65,2019,16.4,80,3,datsun 310,23.51457286,187.2909159,,,,,,
29.8,4,89,62,1845,15.3,80,2,vokswagen rabbit,23.51457286,39.50659428,,,,,,
38.1,4,89,60,1968,18.8,80,3,toyota corolla tercel,23.51457286,212.7346847,,,,,,
44.3,4,90,48,2085,21.7,80,2,vw rabbit c (diesel),23.51457286,432.0339812,,,,,,
43.4,4,90,48,2335,23.7,80,2,vw dasher (diesel),23.51457286,395.4302124,,,,,,
16.9,8,350,155,4360,14.9,79,1,buick estate wagon (sw),23.51457286,43.75257418,,,,,,
18.5,8,360,150,3940,13,79,1,chrysler lebaron town @ country (sw),23.51457286,25.14594101,,,,,,
15.5,8,351,142,4054,14.3,79,1,ford country squire (sw),23.51457286,64.2333782,,,,,,
16.5,8,351,138,3955,13.2,79,1,mercury grand marquis,23.51457286,49.20423247,,,,,,
18.2,8,318,135,3830,15.2,79,1,dodge st. regis,23.51457286,28.24468473,,,,,,
17,8,305,130,3840,15.4,79,1,chevrolet caprice classic,23.51457286,42.4396596,,,,,,
17.6,8,302,129,3725,13.4,79,1,ford ltd landau,23.51457286,34.98217217,,,,,,
23,8,350,125,3900,17.4,79,1,cadillac eldorado,23.51457286,0.264785233,,,,,,
19.2,8,267,125,3605,15,79,1,chevrolet malibu classic (sw),23.51457286,18.615539,,,,,,
28.8,6,173,115,2595,11.3,79,1,chevrolet citation,23.51457286,27.93574001,,,,,,
26.8,6,173,115,2700,12.9,79,1,oldsmobile omega brougham,23.51457286,10.79403146,,,,,,
21.5,6,231,115,3245,15.4,79,1,pontiac lemans v6,23.51457286,4.058503826,,,,,,
20.6,6,225,110,3360,16.6,79,1,dodge aspen 6,23.51457286,8.494734981,,,,,,
33.5,4,151,90,2556,13.2,79,1,pontiac phoenix,23.51457286,99.70875508,,,,,,
28.4,4,151,90,2670,16,79,1,buick skylark limited,23.51457286,23.8673983,,,,,,
23.9,8,260,90,3420,22.2,79,1,oldsmobile cutlass salon brougham,23.51457286,0.148554077,,,,,,
20.2,6,232,90,3265,18.2,79,1,amc concord dl 6,23.51457286,10.98639327,,,,,,
22.3,4,140,88,2890,17.3,79,1,ford fairmont 4,23.51457286,1.475187243,,,,,,
19.8,6,200,85,2990,18.2,79,1,mercury zephyr 6,23.51457286,13.79805156,,,,,,
